Titre,Descriptif,Description,Prix,Categorie,Etiquette,Lien
"""Foulards en soie “Let it Bee”""","""Couleur: JAUNE, ROSE
Artiste: NOHA HABAIEB
Pays: TUNISIE / TUNISIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE
Dimensions: 45CM X 45CM""","""Collection Printemps été 2020
Edition limitée à 50 exemplaires
100% Soie
45cmx45cm
Accompagné d’une marque page numéroté au dessin exclusif de l’artiste et de sa signature.
Avec cette 1ère collection de foulards en soie pour le printemps/été 2020 , Noha Habaieb continue d’explorer le monde magnifique et tellement riche des insectes et plus particulièrement d’une reine parmi les reines les abeilles. Avec ce foulard, édité en quantité limité ( 50 de chaque couleur). Vous pourrez vous parer des plus belles couleurs, pour accompagner une tenue estivale noué dans les cheveux, ou même pour égayer un sac à main. Enfin qui a dit que l’art ne pouvait pas se porter ?""","""55""","""FOULARDS EN SOIE""",," ""https://www.artforness.com/produit/foulards-en-soie-let-it-bee/"""
"""Affiche Festival Ciné Palestine édition 2018""","""Poids: 0.250 KG
Dimensions: 42 × 59 CM
Artiste: WALID BOUCHOUCHI
Pays: ALGÉRIE / ALGERIA
Technique: SÉRIGRAPHIE / SILK PRINT""","""Edition limitée à 30 exemplaires.
Format 42 x 59 cm.
Sérigraphie sur Canson Edition Etching Rag 310 gr.
Numéroté et signé à la main par l’Artiste.
Depuis plus de 3 ans, le Festival Ciné-Palestine à Paris met à l’honneur les cinéastes palestiniens.
Le talentueux Walid Bouchouchi accompagne le Festival depuis sa création en dessinant les affiches ainsi que toute l’iconographie autour.
La vente de cette sérigraphie éditée en édition limitée, à 30 exemplaires seulement, numérotés et signés par l’artiste, permettra de verser 50% des bénéfices au FCP pour l’organisation de l’édition 2020""","""50""","""ILLUSTRATIONS""",," ""https://www.artforness.com/produit/affiche-fcp-edition-2018/"""
"""Affiche Festival Ciné-Palestine édition 2017""","""Poids: 0.250 KG
Dimensions: 42 × 59 CM
Artiste: WALID BOUCHOUCHI
Pays: ALGÉRIE / ALGERIA
Technique: SÉRIGRAPHIE / SILK PRINT""","""Edition limitée à 30 exemplaires.
Format 42 x 59 cm.
Sérigraphie sur Canson Edition Etching Rag 310 gr.
Numéroté et signé à la main par l’Artiste.
Depuis plus de 3 ans, le Festival Ciné-Palestine à Paris met à l’honneur les cinéastes palestiniens.
Le talentueux Walid Bouchouchi accompagne le Festival depuis sa création en dessinant les affiches ainsi que toute l’iconographie autour.
La vente de cette sérigraphie éditée en édition limitée, à 30 exemplaires seulement, numérotés et signés par l’artiste, permettra de verser 50% des bénéfices au FCP pour l’organisation de l’édition 2020.""","""50""","""ILLUSTRATIONS""",," ""https://www.artforness.com/produit/affiche-fcp-edition-2017/"""
"""FATMA au PARAPLUIE""","""Artiste: MAHMOUD
Pays: ALGÉRIE / ALGERIA""","""Véritable ode à la culture orale, cette bande dessinée algérienne, chorale et foisonnante invite le lecteur à partager la vie des habitants de la Casbah, quartier populaire des hauteurs d’Alger où pauvreté et débrouillardise côtoient au quotidien les ragots et les médisances colportés à propos des uns et des autres.
Au centre des rumeurs du quartier, deux femmes mystérieuses qui habitent une vieille maison, couverte de parapluies et ainsi devenues objet de crainte et de fascination : Lalla Houm et Fatma au Parapluie.
Lalla Houm, une vieille décrépie et édentée, se considère comme une sorcière capable de prédire l’avenir et de prescrire des remèdes. Fatma au Parapluie, une dame singulière habillée en tailleur et chapeau, collectionne les parapluies, parle français et vivote en vendant des légumes dans le quartier. Excentrique et indéchiffrable, elle inspire la terreur des enfants et les moqueries des adultes. Audacieuse et effrontée, elle franchit aussi bien les portes des maisons pour partager les histoires des autres femmes que celles des cafés réservés aux hommes, sans hésiter à leur tenir tête. Mais comment échapper aux mauvaises langues, quand on transgresse ainsi les frontières qui séparent l’univers masculin du monde féminin, et quand on ose mettre des mots sur les tabous et les non-dits ? Comment ne pas devenir folle sous le regard vigilant et omniprésent des habitants du quartier ?""","""18""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/fatma-au-parapluie/"""
"""Nouvelle Génération : la bande dessinée arabe d’aujourd’hui""","""Poids: 0.950 KG
Dimensions: 29.7 × 42 × 4 CM
Artiste: LAB619, SADRI KHIARI, BARRACK RIMA, LENA MERHEJ, NOHA HABAIEB, SALIM ZERROUKI, SEIF EDDINE NECHI, TRACY CHAHWAN
Pays: MAROC / MOROCCO, SYRIE / SYRIA, ALGÉRIE / ALGERIA, LIBAN / LEBANON, TUNISIE / TUNISIA""","""Nouvelle génération : la bande dessinée arabe aujourd’hui est le catalogue officiel de l’exposition homonyme qui a eu lieu en 2018 à la Cité de la bande dessinée et de l’image d’Angoulême.
Le livre “La bande dessinée arabe d’aujourd’hui” est le catalogue de l’exposition homonyme qui a eu lieu en 2018 à la cité internationale de la Bande Dessinée d’Angoulême. Une exposition qui a permis à beaucoup de des artistes partenaires d’ArtForNess d’y exposer leurs travaux et d’aller à la rencontre des amoureux de la Bande Dessinée.
Il met en avant plus de quarante bédéistes arabes provenant de différents pays: Algérie, Tunisie, Égypte, Irak ou bien encore la Palestine. Les artistes et les collectifs sont ici dévoilés à travers un éventail de plus de 120 planches illustrant le bouillonnement que la bande dessinée arabe connaît depuis plus de dix ans. Le catalogue est un livre accessible à tous puisque les textes sont présentés en Français et en Anglais permettant ainsi de toucher un public plus large.
Le livre a pu voir le jour grâce à la collaboration intense et fructueuse entre la Cité Internationale de la Bande Dessinée
et de l’Image, la Mu’taz and Rada Sawwaf Comics Initiative et l’Université Américaine de Beyrouth. Il leur était important de donner à voir l’extraordinaire vitalité de la création du monde arabe en matière de 9ème art, et de manifester leur intérêt et leur soutien à cette création en cours et aux auteurs qui la font vivre, parfois dans des contextes particulièrement difficiles.""","""22""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/nouvelle-generation-la-bande-dessinee-arabe-daujourdhui/"""
"""BEYROUTH La trilogie""","""Poids: 0.385 KG
Dimensions: 29 × 21 CM
Artiste: BARRACK RIMA
Pays: LIBAN / LEBANON
Nb de pages: 96""","""Beyrouth, le présent et le passé, les rêves et la réalité…
Avec ce roman graphique Beyrouth la trilogie, Barrack Rima, conteur visuel, nous invite à le suivre dans le labyrinthe de Beyrouth et dans celui de sa mémoire, hanté et aimanté par cette ville rongée aujourd’hui par les promoteurs immobiliers, envahie par les déchets et leur puanteur, dans laquelle il cherche encore et encore les traces du passé, de son passé… Chauffeurs de taxi, conteurs et marchands ambulants, monde grouillant d’exilés et de réfugiés, ville où règnent miséreux et débrouillards, mais aussi l’argent roi, le béton des promoteurs, la corruption et la censure, Om Kalthoum et Handala : ainsi se côtoient l’endroit et l’envers de Beyrouth, le présent et le passé, les rêves et la réalité…""","""20""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/beyrouth-la-trilogie/"""
"""ça restera entre nous""","""Poids: 0.950 KG
Dimensions: 29.7 × 42 × 4 CM
Artiste: SADRI KHIARI, BARRACK RIMA, LENA MERHEJ, NOHA HABAIEB, SALIM ZERROUKI, SEIF EDDINE NECHI, TRACY CHAHWAN
Pays: MAROC / MOROCCO, SYRIE / SYRIA, ALGÉRIE / ALGERIA, LIBAN / LEBANON, TUNISIE / TUNISIA""","""ça restera entre nous , une collection de 26 histoires courtes dessinées par des artistes de tout horizon, allant du Maroc aux États-Unis en passant par la Tunisie et l’Allemagne. une ode à la liberté d’expression en trois langues : Arabe , Français et Anglais.
La BD arabe ça restera entre nous est un recueil de 26 histoires courtes. Imaginées par des artistes talentueux et courageux sous le thème  « Jeunesse, sexualité et poésie ». Ainsi pour cette édition spéciale, le collectif libanais Samandal a su s’entourer d’une sélection d’artistes plus ingénieux et inspirants les uns que les autres. Parcourant le monde depuis les Etats-Unis jusqu’au Liban en passant par la Tunisie ou l’Espagne des bédéistes tel que Noha Habaieb , Barrack Rima ou encore Lena Merhej pour ne citer qu’eux, ont exprimé leur vision de l’amour, de la poésie ou simplement de la sexualité.
Vingt-six contributions courageuses, en trois langues différentes : arabe, anglais et français.
Un livre à retourner dans tous les sens , une nouvelle facette de la BD arabe mais chut ça restera entre nous.
Le mot Samandal est le mot arabe désignant la Salamandre.S’inspirant de cette dualité d’être amphibien , le collectif vogue entre deux mondes, image et texte,  l’expérimental et le traditionnel.""","""20""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/bd-arabe-ca-restera-entre-nous/"""
"""Cavewoman : The Hunt""","""Dimensions: 30 × 42 CM
Artiste: MAHMOUD
Pays: ALGÉRIE / ALGERIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires
Format 30 x 42 cm
Impression pigmentaire sur Canson Edition Etching Rag 310 gr
Dessin numéroté et signé à la main par l’Artiste
Accompagné d’un certificat d’authenticité
Dans ce dessin, Mahmoud Benamar joue sur les nuances des bleus pour mettre en valeur la chasseuse.
Une femme belle et puissante utilisant tous ses sens pour être en alerte et prête à bondir.
Inspiré d’un univers graphique Fantasy,Mahmoud réussit à nous emmener ailleurs.""","""85""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/cavewoman-the-hunt/"""
"""Des ragots sur le toit""","""Poids: 0.250 KG
Dimensions: 29.7 × 42 CM
Artiste: SONIA BEN SALEM
Pays: TUNISIE / TUNISIA
Technique: SÉRIGRAPHIE / SILK PRINT""","""Edition limitée à 50 exemplaires.
Format 29.7x 42cm.
Sérigraphie sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
L’affiche en sérigraphie : des ragots sur le toit de Sonia Ben Salem.
La talentueuse illustratrice a rejoint la troupe des artistes partenaires d’ArtForNess et en renforçant l’équipe de l’Atelier Glibett avec un joli triptyque autour de la vie journalière dans le vieux Tunis.
La 2éme scène du trio s’articule autour des toits de la médina de Tunis et porte le nom de « Des ragots sur le toit ». Comme son nom l’indique, l’affiche en sérigraphie traite des ragots qui sont pour les habitants comme des petits bonbons à consommer sans modération.""
Les toits de la ville étaient et restent un élément architectural important dans la vie des Tunisiens, on y organise des fêtes, y lave les tapis et surtout et avant tout on y échange les dernières nouvelles.
Cherchez le chat élément important du monde des Glibetts.","""80""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/des-ragots-sur-le-toit-serigraphie-affiche/"""
"""Destructure""","""Poids: 0.700 KG
Dimensions: 60 × 60 CM
Artiste: DZART16
Pays: ALGÉRIE / ALGERIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 60x 60cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
“Destructure” est une œuvre qui porte à la contemplation et à la réflexion.Qui nous pousse à faire notre propore analyse et imaginer une histoire , un mythe derrière ou peut-être une simple vision d’une réalité.
La structure et la composition de l’œuvre se base sur un personnage central qui semble porter sur ses épaules ce qui a l’air d’être les restes fumants de la kasbah d’Alger.""","""240""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/destructure/"""
"""E-muet""","""Poids: 0.250 KG
Dimensions: 32 × 32 CM
Artiste: NOÉMIE HONEIN
Pays: LIBAN / LEBANON
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 32 x 32cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
Noémie a réalisé ce dessin lors de son expo intitulé E-muet à Toulouse en Mars 2018
Elle avait alors représenté plusieurs artistes femmes ( Beyoncé , Yasmine Hamdan ou encore Jane) en commençant ses dessins avec une consigne simple : dessiner une femme sur un papier blanc et faire léviter un monde autour d’elle.
Le dessin est alors un mélange de petits détails plus ecis les uns que les autres  magnifié par une explosion de couleurs au service de toutes les femmes musiciennes , chanteuses ou simplement Femmes.""","""60""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/emuet/"""
"""Eternal Expectation""","""Poids: 0.3 KG
Dimensions: 40 × 50 CM
Artiste: JAWHER SOUDANI
Pays: TUNISIE / TUNISIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 40 x 50 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste Vajo.
Eternal Expectation , un dessin inspiré de la Nature.
L’homme y est représenté dans une forme polymorphe avec une tête de fleur, symbole de paix et de tolérance, en opposition avec l’action dans laquelle il s’engage. Un conflit avec l’autre, peut-être avec lui même, qui possède ce qu’il désire. Jawher aime nous pousser à réfléchir et porter un regard différent sur certaines situations de la vie.""","""120""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/eternal-expectation/"""
"""Frog Island""","""Dimensions: 30 × 50 CM
Artiste: MAHMOUD
Pays: ALGÉRIE / ALGERIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 30 x 50 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Dessin numéroté et signé à la main par l’Artiste.
Accompagné d’un certificat d’authenticité.
Edition limitée à 50 exemplaires.
Format 30 x 50 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.""
Dessin numéroté et signé à la main par l’Artiste.
Accompagné d’un certificat d’authenticité.","""90""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/frog-island/"""
